Date,Open,High,Low,Close,Adj Close,Volume,Days
2022-02-24,1.85,2.21,1.83,2.18,2.18,28251900,300
2022-02-25,2.15,2.28,2.063,2.27,2.27,27953500,301
2022-02-28,2.25,2.39,2.24,2.37,2.37,22483100,302
2022-03-01,2.37,2.39,2.23,2.27,2.27,21108700,303
2022-03-02,2.12,2.15,2.05,2.14,2.14,20755400,304
2022-03-03,2.142,2.17,1.95,1.97,1.97,20733000,305
2022-03-04,1.95,2.01,1.85,1.9,1.9,18256900,306
2022-03-07,1.88,2.03,1.87,1.99,1.99,20634700,307
2022-03-08,2,2.1,1.84,2.03,2.03,20893100,308
2022-03-09,2.07,2.13,2.02,2.1,2.1,11841900,309
2022-03-10,2.06,2.1,1.98,2.06,2.06,12468500,310
2022-03-11,2.04,2.08,1.85,1.88,1.88,16340800,311
2022-03-14,1.85,1.855,1.75,1.78,1.78,12807900,312
2022-03-15,1.77,1.775,1.6,1.7,1.7,30095800,313
2022-03-16,1.77,2,1.75,1.99,1.99,25625300,314
2022-03-17,1.91,2.14,1.835,2.12,2.12,19653400,315
2022-03-18,2.06,2.27,2.03,2.18,2.18,30273100,316
2022-03-21,2.18,2.2,2.06,2.13,2.13,14607400,317
2022-03-22,2.08,2.38,2.08,2.33,2.33,22630200,318
2022-03-23,2.3,2.48,2.25,2.39,2.39,24611100,319
2022-03-24,2.4,2.575,2.343,2.44,2.44,21943100,320
2022-03-25,2.41,2.422,2.28,2.32,2.32,12658300,321
2022-03-28,2.32,2.41,2.22,2.38,2.38,17607600,322
2022-03-29,2.44,2.58,2.435,2.54,2.54,17217500,323
2022-03-30,2.5,2.56,2.36,2.38,2.38,13175800,324
2022-03-31,2.4,2.4,2.23,2.25,2.25,13982000,325
2022-04-01,2.3,2.32,2.21,2.28,2.28,8849500,326
2022-04-04,2.33,2.53,2.27,2.5,2.5,12243800,327
2022-04-05,2.49,2.495,2.3,2.32,2.32,10352500,328
2022-04-06,2.27,2.27,2.14,2.21,2.21,14474900,329
2022-04-07,2.22,2.26,2.035,2.13,2.13,10450700,330
2022-04-08,2.13,2.19,2.055,2.1,2.1,9097700,331
2022-04-11,2.04,2.21,2.02,2.14,2.14,9555200,332
2022-04-12,2.21,2.28,2.07,2.09,2.09,13292900,333
2022-04-13,2.1,2.13,2.06,2.12,2.12,6971900,334
2022-04-14,2.11,2.12,2,2.02,2.02,14289600,335
2022-04-18,1.98,2,1.86,1.9,1.9,17823700,336
2022-04-19,1.9,2.1,1.88,2.08,2.08,18152200,337
2022-04-20,2.05,2.05,1.87,1.89,1.89,14514100,338
2022-04-21,1.93,1.97,1.81,1.81,1.81,14371600,339
2022-04-22,1.8,1.83,1.68,1.73,1.73,22530000,340
2022-04-25,1.7,1.82,1.69,1.81,1.81,18084100,341
2022-04-26,1.78,1.79,1.68,1.72,1.72,16361900,342
2022-04-27,1.72,1.8,1.7,1.7,1.7,16133000,343
2022-04-28,1.71,1.8,1.63,1.78,1.78,15703100,344
2022-04-29,1.78,1.85,1.69,1.7,1.7,14059800,345
2022-05-02,1.69,1.77,1.65,1.77,1.77,11393500,346
2022-05-03,1.75,1.81,1.7,1.76,1.76,12652400,347
2022-05-04,1.75,1.89,1.69,1.89,1.89,15515400,348
2022-05-05,1.81,1.84,1.69,1.7,1.7,15689800,349
2022-05-06,1.69,1.71,1.55,1.61,1.61,13919000,350
2022-05-09,1.55,1.58,1.44,1.44,1.44,15218500,351
2022-05-10,1.5,1.5,1.32,1.38,1.38,18784700,352
2022-05-11,1.37,1.39,1.22,1.25,1.25,25413500,353
2022-05-12,1.23,1.43,1.2,1.39,1.39,20762000,354
2022-05-13,1.42,1.56,1.41,1.54,1.54,22307900,355
2022-05-16,1.5,1.59,1.475,1.49,1.49,11941700,356
2022-05-17,1.52,1.61,1.51,1.6,1.6,12287000,357
2022-05-18,1.55,1.61,1.5,1.52,1.52,13810800,358
2022-05-19,1.48,1.665,1.48,1.59,1.59,15842700,359
2022-05-20,1.64,1.66,1.55,1.64,1.64,13747400,360
2022-05-23,1.64,1.64,1.53,1.62,1.62,9717200,361
2022-05-24,1.56,1.56,1.45,1.47,1.47,6922000,362
2022-05-25,1.49,1.62,1.45,1.61,1.61,8991100,363
2022-05-26,1.62,1.76,1.58,1.63,1.63,15958400,364
2022-05-27,1.64,1.8,1.64,1.8,1.8,13868300,365
2022-05-31,1.74,1.81,1.69,1.76,1.76,15820800,366
2022-06-01,1.78,1.82,1.66,1.7,1.7,10190300,367
2022-06-02,1.71,1.96,1.68,1.93,1.93,15446900,368
2022-06-03,1.87,1.95,1.79,1.79,1.79,9692500,369
2022-06-06,1.87,2.07,1.855,1.99,1.99,23955600,370
2022-06-07,1.95,2.05,1.88,2,2,14983800,371
2022-06-08,1.96,2.1,1.95,2.06,2.06,11765100,372
2022-06-09,2.04,2.05,1.91,1.95,1.95,14975000,373
2022-06-10,1.9,1.92,1.79,1.8,1.8,12661400,374
2022-06-13,1.7,1.76,1.6,1.6,1.6,11461500,375
2022-06-14,1.66,1.69,1.583,1.61,1.61,10746300,376
2022-06-15,1.64,1.76,1.615,1.73,1.73,14419400,377
2022-06-16,1.65,1.73,1.62,1.69,1.69,12192600,378
2022-06-17,1.69,1.94,1.68,1.87,1.87,19209100,379
2022-06-21,1.85,2.07,1.83,1.89,1.89,17612200,380
2022-06-22,1.87,1.95,1.84,1.87,1.87,12709600,381
2022-06-23,1.9,2.01,1.88,2.01,2.01,19349400,382
2022-06-24,2.03,2.12,1.91,1.95,1.95,83704900,383
2022-06-27,1.95,2.005,1.87,1.9,1.9,11338000,384
2022-06-28,1.93,1.94,1.79,1.79,1.79,11207400,385
2022-06-29,1.81,1.83,1.64,1.65,1.65,12481800,386
2022-06-30,1.63,1.64,1.55,1.6,1.6,12772700,387
2022-07-01,1.59,1.69,1.59,1.63,1.63,8057100,388
2022-07-05,1.6,1.79,1.57,1.76,1.76,13533300,389
2022-07-06,1.74,1.81,1.6,1.63,1.63,13563000,390
2022-07-07,1.64,1.72,1.6,1.7,1.7,12860700,391
2022-07-08,1.67,1.705,1.6,1.63,1.63,9360100,392
2022-07-11,1.62,1.625,1.48,1.48,1.48,12690600,393
2022-07-12,1.48,1.54,1.42,1.49,1.49,10154500,394
2022-07-13,1.46,1.53,1.43,1.51,1.51,7778700,395
2022-07-14,1.48,1.52,1.45,1.48,1.48,6480700,396
2022-07-15,1.51,1.54,1.44,1.49,1.49,8081300,397
2022-07-18,1.51,1.64,1.5,1.53,1.53,11332400,398
2022-07-19,1.54,1.62,1.53,1.59,1.59,7343600,399
2022-07-20,1.61,1.73,1.6,1.69,1.69,11209400,400
2022-07-21,1.67,1.72,1.64,1.71,1.71,7466800,401
2022-07-22,1.69,1.72,1.53,1.57,1.57,7741100,402
2022-07-25,1.55,1.56,1.5,1.51,1.51,5681100,403
2022-07-26,1.5,1.51,1.38,1.38,1.38,8909900,404
2022-07-27,1.43,1.435,1.37,1.42,1.42,8655000,405
